,name,bye,projected
0,Kyler Murray,8,421.95
1,Patrick Mahomes,10,406.20
2,Russell Wilson,6,451.72
3,Josh Allen,11,359.18
4,Dalvin Cook,7,317.59
5,Aaron Rodgers,5,343.86
6,Deshaun Watson,8,358.56
7,Alvin Kamara,6,345.68
8,Tom Brady,13,329.94
9,Matt Ryan,10,304.19
10,Justin Herbert,6,335.83
11,Ryan Tannehill,4,329.71
12,Teddy Bridgewater,13,276.57
13,Carson Wentz,9,318.17
14,Lamar Jackson,7,362.12
15,Drew Brees,6,307.27
16,Joe Burrow,9,313.91
17,Tyreek Hill,10,236.83
18,Ben Roethlisberger,4,293.62
19,DK Metcalf,6,278.55
20,Jared Goff,9,297.36
21,Derrick Henry,4,285.87
22,Derek Carr,6,269.77
23,Davante Adams,5,281.44
24,Matthew Stafford,5,296.40
25,Kyler Murray,8,421.95
26,Patrick Mahomes,10,406.20
27,Russell Wilson,6,451.72
28,Josh Allen,11,359.18
29,Dalvin Cook,7,317.59
30,Aaron Rodgers,5,343.86
31,Deshaun Watson,8,358.56
32,Alvin Kamara,6,345.68
33,Tom Brady,13,329.94
34,Matt Ryan,10,304.19
35,Justin Herbert,6,335.83
36,Ryan Tannehill,4,329.71
37,Teddy Bridgewater,13,276.57
38,Carson Wentz,9,318.17
39,Lamar Jackson,7,362.12
40,Drew Brees,6,307.27
41,Joe Burrow,9,313.91
42,Tyreek Hill,10,236.83
43,Ben Roethlisberger,4,293.62
44,DK Metcalf,6,278.55
45,Jared Goff,9,297.36
46,Derrick Henry,4,285.87
47,Derek Carr,6,269.77
48,Davante Adams,5,281.44
49,Matthew Stafford,5,296.40
